Id;Title;Artist;Year;Duo;Explicit;"Date Added";Styles;Languages
58319;"Hold Me While You Wait";"Lewis Capaldi";2019;0;0;2019-06-18;Pop;English
7960;"How You Remind Me";Nickelback;2001;0;0;2007-05-22;Rock,Alternative;English
6583;"Don't Rock The Jukebox";"Alan Jackson";1991;0;0;2011-05-31;Country;English
13305;"It's Raining Men";"Geri Halliwell";2001;0;0;2008-03-17;"Pop,TV & movie soundtrack,Dance,Disco";English
6923;"Unforgettable (Duet)";"Natalie Cole";1962;1;0;2016-03-24;Jazz,Love,Duet;English
5409;"Kingston Town";UB40;1989;0;0;2011-05-30;Reggae;English
19061;"Singin' in the Rain";"Singin' in the Rain (1952 film)";1952;0;0;2011-05-31;"TV & movie soundtrack,Musical";English
12709;"Eternal Flame";"The Bangles";1989;0;0;2011-10-04;Pop,Love;English
7231;"La camisa negra";Juanes;2006;0;0;2014-01-27;Latin,Pop;Spanish
13858;"Rivers of Babylon";"Boney M.";1978;0;0;2011-11-29;Disco;English
25503;"People Are Crazy";"Billy Currington";2009;0;0;2011-05-31;Country;English
13956;"It Must Have Been Love";Roxette;1989;0;0;2011-05-31;Love,Pop;English
5383;"You Raise Me Up";Westlife;2005;0;0;2007-05-24;Pop;English
38057;"Somebody That I Used To Know";Gotye;2011;1;0;2012-03-07;"Alternative,Soft rock,Duet";English
13221;"Call Me";Blondie;1980;0;0;2011-10-29;80s,Rock;English
5738;"Stacy's Mom";"Fountains of Wayne";2003;0;0;2007-05-04;Pop,Rock;English
55832;"Bella Ciao";"La Casa de Papel";2018;0;0;2018-07-28;"TV & movie soundtrack";Italian
11834;Angie;"The Rolling Stones";1973;0;0;2012-02-08;"Soft rock";English
5057;"La Marseillaise";"National Anthem";1792;0;0;2008-06-26;Traditionnal;French
59321;Hoch;"Tim Bendzko";2019;0;0;2019-10-10;Pop;German
12686;"Little Ole Wine Drinker, Me";"Dean Martin";1967;0;0;2011-07-13;Country;English
48055;Sugar;"Maroon 5";2014;0;1;2014-12-12;Pop,Funk,Rock;English
19143;"Ohne Dich (schlaf' ich heut' nacht nicht ein)";"Münchener Freiheit";1985;0;0;2014-04-22;80s,Schlager;German
13719;"You Got It";"Roy Orbison";1988;0;0;2011-06-17;"Soft rock,Pop,Folk";English
60016;"L'hymne de la vie";"Kids United Nouvelle Génération";2019;0;0;2020-01-24;"French pop,Kids";French
5976;"Con te partirò";"Andrea Bocelli";1995;0;0;2013-09-27;Pop,Classical;Italian
13515;"I Say A Little Prayer";"Aretha Franklin";1968;0;0;2011-05-31;Soul;English
14099;"Leaving On A Jet Plane";"John Denver";1969;0;0;2011-05-30;Folk,Pop,Love;English
52486;"Clint Eastwood";Gorillaz;2001;0;1;2017-02-27;Alternative,Rap,Electro;English
9163;"I Have a Dream";ABBA;1978;0;0;2016-03-24;Pop,Disco;English
